event_type,duration_ms,amplitude_deg,is_regression
fixation,294.9496582570222,0.0,0
saccade,41.862308196812634,2.1284652680366247,0
fixation,184.5925696652639,0.0,0
saccade,29.035799053944523,3.847545280911607,0
fixation,227.18194626305444,0.0,0
saccade,47.44441201802102,3.2454336182358365,0
fixation,343.58524533341296,0.0,0
saccade,44.352436940748696,2.7104039540031053,1
fixation,237.3432204078998,0.0,0
saccade,30.474610256441938,2.4632831292920745,0
fixation,333.2998928961874,0.0,0
saccade,36.40623294231116,2.218269274190421,0
fixation,317.75364098061476,0.0,0
saccade,48.44568775423624,1.2858776682423767,0
fixation,300.68517925024076,0.0,0
saccade,42.5088890808779,2.434945371336843,1
fixation,287.1944836610117,0.0,0
saccade,41.90720452200712,1.985535287981556,1
fixation,195.67669331962563,0.0,0
saccade,43.13917806432066,3.1715723748910722,0
fixation,265.76630883464935,0.0,0
saccade,47.11135665966768,3.6770649996069587,0
fixation,307.55518775146766,0.0,0
saccade,41.96423962059511,3.8578711168007613,1
fixation,340.68989403318005,0.0,0
saccade,30.853971883049866,2.2409914585378377,0
fixation,318.69459712610063,0.0,0
saccade,38.459355955081655,3.050835814411077,0
fixation,255.08688077574593,0.0,0
saccade,23.259577563474643,2.083120911110588,0
fixation,249.563976804424,0.0,0
saccade,37.690415509040264,2.5865462059959623,0
fixation,295.48165796107537,0.0,0
saccade,35.48380058720385,2.778320864825789,0
fixation,237.913160488064,0.0,0
saccade,53.47372796754115,2.041023535806001,0
fixation,348.6291377219556,0.0,0
saccade,25.34881137698001,2.9344059447631574,0
fixation,214.67294753342185,0.0,0
saccade,27.232802635078343,2.767775945754883,1
fixation,285.18065604464806,0.0,0
saccade,27.604003213997036,2.4420215207115326,1
fixation,291.0384745829048,0.0,0
saccade,50.19203680454561,1.5085539460269146,0
fixation,223.7360611912104,0.0,0
saccade,36.13715425728075,2.841845851442772,1
fixation,293.77114660668525,0.0,0
saccade,26.314826100823193,3.4544705652038283,0
fixation,294.8108899317199,0.0,0
saccade,37.043381179765646,2.485949911827996,0
fixation,288.6326394652281,0.0,0
saccade,39.409929078381815,3.5874192108133527,0
fixation,155.12777938879674,0.0,0
saccade,36.290490746654406,1.157911455952169,0
fixation,344.5291514566577,0.0,0
saccade,10.076224624868356,1.578205928600993,0
fixation,239.8041737951845,0.0,0
saccade,29.452181081407627,2.1533306914152206,1
fixation,347.2462436665729,0.0,0
saccade,39.603569742486016,1.3417471459688828,0
fixation,267.2533365032013,0.0,0
saccade,38.32664784254631,3.5692409880490397,0
fixation,187.15484389034384,0.0,0
saccade,28.561548480167254,2.0059121360103043,1
fixation,306.9286767198061,0.0,0
saccade,23.86282045047929,2.7394331946526975,0
fixation,348.0497367512197,0.0,0
saccade,44.614374745814445,2.5386613536663742,0
fixation,393.9923884580534,0.0,0
saccade,44.981535214504035,0.2525189030091659,0
fixation,272.2538697819269,0.0,0
saccade,50.971166915680996,3.4437198388498995,1
fixation,358.35828768954826,0.0,0
saccade,35.87374332418615,2.82996996327618,0
fixation,237.4692446700363,0.0,0
saccade,33.71900417359292,1.9384075207486948,0
fixation,249.96554531836236,0.0,0
saccade,34.70956510808449,3.8192680593579436,0
fixation,289.848739217884,0.0,0
saccade,29.23962885788674,0.7474880879251322,1
fixation,334.3015840384603,0.0,0
saccade,18.611707057600324,0.7796267518180704,0
fixation,259.53977098490697,0.0,0
saccade,41.1995866931412,3.512400823306952,0
fixation,320.043914525006,0.0,0
saccade,40.46002705146465,1.0959002627957872,0
fixation,371.5720113830637,0.0,0
saccade,40.45120163030123,2.8636999722041754,0
fixation,331.9116351315855,0.0,0
saccade,44.728047939878564,2.884722090985813,1
fixation,235.89192835646898,0.0,0
saccade,21.660057475733467,1.3247288419942285,0
fixation,225.10200284211732,0.0,0
saccade,26.103725989032434,2.5814138379124905,0
fixation,317.3544276894124,0.0,0
saccade,43.9830725026832,3.3883126073867413,0
fixation,201.00940565516743,0.0,0
saccade,27.831558420393705,3.023250859390178,0
fixation,271.896134525441,0.0,0
saccade,15.501756961845807,2.193950729772094,0
fixation,312.22535883924917,0.0,0
saccade,46.39494123692569,2.7047395309890314,0
fixation,301.0962680399688,0.0,0
saccade,28.052100737619497,3.180762879417885,1
fixation,274.2533775144379,0.0,0
saccade,24.15901404384009,2.7158644391166717,1
fixation,329.67507646335827,0.0,0
saccade,33.853897282042375,2.1552976221542117,0
fixation,364.04659448952486,0.0,0
saccade,32.2303772613226,2.719608945647597,0
fixation,228.53837888477668,0.0,0
saccade,38.151470595597516,1.2617869323227304,0
fixation,351.7924692427313,0.0,0
saccade,38.81848546415644,1.7926481805004357,0
fixation,238.1526970421977,0.0,0
saccade,33.394688413970414,4.11444335281599,0
fixation,357.0506662328665,0.0,0
saccade,40.41189083754326,3.449038028204172,0
fixation,298.75239825720706,0.0,0
saccade,30.749916018668934,2.5087196917328467,0
fixation,317.9555867079739,0.0,0
saccade,36.00716851135842,2.302184815596596,0
fixation,239.90448571394933,0.0,0
saccade,34.65198187770998,1.5010029213017138,0
